frame,overlap,angle,all_iters,all_time,all_t_err,all_r_err,pct_iters,pct_time,pct_t_err,pct_r_err,sigma_iters,sigma_time,sigma_t_err,sigma_r_err,x84_iters,x84_time,x84_t_err,x84_r_err,dynamic_iters,dynamic_time,dynamic_t_err,dynamic_r_err,hmrf_iters,hmrf_em_iters,hmrf_time,hmrf_t_err,hmrf_r_err
97, 0.96441, 0.10472,14, 1.08451, 0.00916, 0.02242,16, 1.01066, 0.00270, 0.00909,15, 0.91649, 0.00199, 0.00978,17, 1.03942, 0.00133, 0.00657,17, 1.01950, 0.00126, 0.00646,23,1368, 5.94260, 0.00108, 0.00692
123, 0.74530, 0.10472,21, 1.60544, 0.13277, 0.06833,27, 1.93608, 0.06421, 0.06308,28, 2.02068, 0.10047, 0.06898,15, 0.98033, 0.00355, 0.02658,22, 1.47024, 0.00755, 0.02942,16,872, 3.66229, 0.00509, 0.02500
317, 0.75007, 0.10472,16, 1.99362, 0.05837, 0.12546,16, 1.73103, 0.00758, 0.04081,13, 1.39844, 0.01607, 0.07343,17, 1.73270, 0.00463, 0.01944,19, 1.67673, 0.00385, 0.02347,17,940, 4.49644, 0.00446, 0.01641
327, 0.58178, 0.10472,50,12.08369, 0.33193, 0.73584,32, 5.15854, 0.03713, 0.15061,26, 4.62526, 0.06938, 0.10554,20, 3.12955, 0.01903, 0.07651,21, 3.46980, 0.01282, 0.05280,22,563, 5.96027, 0.02558, 0.09904
330, 0.51475, 0.10472,50,15.95487, 0.21815, 0.60391,50,13.06534, 0.08255, 0.44558,50,12.19388, 0.14756, 0.61987,50,10.33515, 0.09030, 0.50908,50, 9.88599, 0.01371, 0.06727,24,818, 7.72802, 0.03044, 0.11277
337, 0.41613, 0.10472,50,22.26566, 0.41638, 0.28497,50,17.80689, 0.32353, 0.72429,50,17.09762, 0.39710, 0.89513,50,18.02404, 0.24769, 0.44288,50,19.15872, 0.25201, 0.67691,16,502, 5.79661, 0.02493, 0.09597
343, 0.50228, 0.10472,50,19.00644, 0.26579, 0.65882,50,12.20405, 0.13857, 0.63074,50,15.81368, 0.18096, 0.46439,50,10.67814, 0.03519, 0.23443,50,11.55354, 0.01482, 0.09100,14,740, 5.24968, 0.01190, 0.04721
357, 0.87543, 0.10472,9, 0.59126, 0.01086, 0.03260,13, 0.73781, 0.00623, 0.02026,10, 0.68632, 0.00940, 0.02509,11, 0.68779, 0.00628, 0.02129,14, 0.86750, 0.00504, 0.01972,15,828, 3.51668, 0.00532, 0.01984
404, 0.90848, 0.10472,16, 0.55016, 0.01326, 0.05699,19, 0.59229, 0.00651, 0.05645,15, 0.56679, 0.00871, 0.05770,23, 0.77716, 0.00654, 0.04778,26, 0.79472, 0.00621, 0.04585,19,794, 3.45775, 0.00568, 0.06377
440, 0.68934, 0.10472,17, 1.05819, 0.01875, 0.09782,15, 0.92940, 0.00965, 0.03472,14, 0.82459, 0.01085, 0.05091,18, 0.99205, 0.00842, 0.02888,18, 0.92324, 0.00847, 0.02946,20,1307, 5.32097, 0.00281, 0.01971
464, 0.65954, 0.10472,19, 1.22716, 0.01955, 0.08520,14, 0.95710, 0.01041, 0.03805,10, 0.64257, 0.01264, 0.04351,11, 0.68452, 0.01087, 0.03949,9, 0.66458, 0.01215, 0.04237,20,1203, 5.33633, 0.00304, 0.02508
488, 0.61728, 0.10472,29, 1.49202, 0.03423, 0.14693,19, 0.96050, 0.01248, 0.04419,14, 0.73466, 0.01591, 0.06689,20, 0.96431, 0.01279, 0.04850,21, 1.08028, 0.01301, 0.04841,16,1102, 4.40887, 0.01835, 0.04465
492, 0.63286, 0.10472,27, 1.18919, 0.02892, 0.11487,24, 1.17629, 0.01340, 0.03940,12, 0.60769, 0.01508, 0.05438,18, 0.89273, 0.01352, 0.04467,19, 0.91171, 0.01363, 0.04393,19,1281, 4.92480, 0.01569, 0.03255
504, 0.59215, 0.10472,16, 0.88080, 0.02371, 0.09631,18, 0.90544, 0.01295, 0.05186,10, 0.63718, 0.01508, 0.06489,11, 0.61219, 0.01418, 0.06166,14, 0.74204, 0.01405, 0.05998,22,1590, 7.05138, 0.01270, 0.02382
525, 0.61173, 0.10472,13, 1.03290, 0.01681, 0.09518,11, 0.79472, 0.00919, 0.03893,10, 0.70711, 0.01157, 0.05641,11, 0.82074, 0.00987, 0.04373,9, 0.67751, 0.01053, 0.05010,14,745, 3.35857, 0.00886, 0.02760
534, 0.70111, 0.10472,11, 0.75567, 0.01442, 0.07665,13, 0.94571, 0.00900, 0.03631,12, 0.82593, 0.00993, 0.04869,14, 0.87992, 0.00861, 0.03540,13, 0.85390, 0.00888, 0.03860,18,1028, 4.30991, 0.00508, 0.02510
587, 0.87509, 0.10472,13, 0.68105, 0.01092, 0.02775,21, 1.01220, 0.00410, 0.01528,18, 0.97157, 0.00813, 0.02181,24, 1.09058, 0.00323, 0.01332,23, 0.99224, 0.00287, 0.01537,29,1512, 6.23355, 0.00244, 0.01513
638, 0.78560, 0.10472,13, 1.01878, 0.02149, 0.06302,10, 0.86174, 0.01070, 0.03286,10, 0.75109, 0.01299, 0.04267,10, 0.84112, 0.01061, 0.03251,14, 1.00057, 0.00892, 0.02779,12,624, 2.89266, 0.00860, 0.02596
698, 0.74227, 0.10472,27, 3.84800, 0.07624, 0.19652,12, 1.29546, 0.01017, 0.02455,7, 0.77637, 0.01631, 0.05482,15, 1.56228, 0.00569, 0.01111,18, 1.91604, 0.00461, 0.01206,15,847, 4.23914, 0.00460, 0.01262
717, 0.56078, 0.10472,20, 3.54054, 0.10101, 0.24512,50, 7.47562, 0.04003, 0.26658,21, 3.91953, 0.07714, 0.32426,17, 2.07622, 0.01270, 0.07395,45, 5.59900, 0.00630, 0.01870,14,693, 3.91761, 0.01235, 0.03104
723, 0.42354, 0.10472,50,14.00673, 0.50776, 0.71230,32, 6.86797, 0.08252, 0.34303,50,12.08749, 0.24057, 0.41881,22, 3.45451, 0.03510, 0.23613,50, 8.19405, 0.03942, 0.18983,19,474, 4.55456, 0.03684, 0.18386
732, 0.45719, 0.10472,50, 9.69238, 0.47903, 0.73268,29, 3.18004, 0.04431, 0.14210,19, 2.52739, 0.09466, 0.23754,30, 3.37129, 0.04378, 0.13546,33, 3.48196, 0.04399, 0.13418,22,1125, 6.18706, 0.02526, 0.05219
736, 0.45589, 0.10472,50,10.42885, 0.51974, 0.79112,30, 3.58385, 0.04678, 0.12662,15, 2.27856, 0.10884, 0.23077,31, 4.05316, 0.04657, 0.12315,28, 3.49336, 0.04186, 0.10242,16,908, 5.34614, 0.02592, 0.04470
747, 0.44995, 0.10472,50,10.10153, 0.48509, 0.73420,29, 3.50300, 0.04697, 0.15351,24, 3.21739, 0.10745, 0.27376,30, 3.77063, 0.04316, 0.14170,33, 3.68070, 0.04354, 0.14220,16,578, 4.08624, 0.03905, 0.13054
756, 0.38690, 0.10472,32, 3.58199, 0.16678, 0.51936,32, 3.52856, 0.06673, 0.53670,38, 3.88170, 0.12209, 0.55194,50, 4.79215, 0.17472, 0.32215,26, 3.01280, 0.06108, 0.54643,18,497, 3.99346, 0.03073, 0.11442
759, 0.38619, 0.10472,28, 3.70517, 0.18639, 0.52594,31, 3.69291, 0.07176, 0.53734,41, 4.47856, 0.14300, 0.58199,39, 3.50905, 0.09642, 0.32458,24, 3.10905, 0.05905, 0.55316,19,648, 4.61940, 0.03192, 0.10960
763, 0.35746, 0.10472,42, 8.11540, 0.27995, 0.50562,45, 6.82366, 0.13517, 0.52848,46, 8.36263, 0.24513, 0.53269,50, 6.11206, 0.14072, 0.34302,38, 6.46985, 0.06408, 0.54411,18,891, 6.13286, 0.02074, 0.02824
773, 0.38582, 0.10472,50,11.87524, 0.52904, 0.68013,35, 6.75104, 0.17113, 0.43331,49, 9.88393, 0.27394, 0.46639,39, 6.04009, 0.11012, 0.28760,38, 7.95459, 0.07289, 0.51622,21,766, 6.34284, 0.03185, 0.09515
776, 0.36398, 0.10472,50,19.85990, 0.67378, 1.37464,50,15.84502, 0.52232, 1.02227,50,14.95573, 0.56703, 0.98896,50,16.80814, 0.49990, 1.00714,50,20.09314, 0.66621, 1.35639,14,999, 7.14445, 0.02488, 0.07778
789, 0.67033, 0.10472,48, 8.57336, 0.26121, 0.50568,23, 3.29170, 0.03058, 0.10183,39, 5.22124, 0.05694, 0.18439,16, 2.15705, 0.01334, 0.04308,30, 4.12914, 0.00775, 0.03462,17,1053, 6.23052, 0.00688, 0.02445
796, 0.69027, 0.10472,50, 8.67140, 0.22654, 0.45022,24, 3.18796, 0.02689, 0.09584,38, 4.36712, 0.05360, 0.17941,16, 1.85623, 0.01050, 0.03702,26, 3.05400, 0.00749, 0.03311,17,973, 5.78784, 0.00682, 0.02262
817, 0.83922, 0.10472,11, 0.84807, 0.01762, 0.05288,12, 0.89309, 0.00978, 0.02670,10, 0.75928, 0.01248, 0.03494,15, 1.00027, 0.00751, 0.02266,15, 1.09076, 0.00711, 0.02294,14,817, 3.48079, 0.00786, 0.02357
873, 0.89504, 0.10472,7, 0.35216, 0.04085, 0.06313,18, 0.67344, 0.01255, 0.03841,9, 0.41991, 0.02822, 0.05875,15, 0.63465, 0.01523, 0.04479,17, 0.65862, 0.02045, 0.05490,16,671, 2.84409, 0.01329, 0.04041
914, 0.83199, 0.10472,50, 3.86409, 0.13645, 0.14095,10, 0.71688, 0.01169, 0.02498,13, 0.94793, 0.03255, 0.02622,12, 0.76484, 0.00576, 0.02099,14, 0.89829, 0.00692, 0.02025,14,759, 3.62241, 0.00494, 0.02045
948, 0.90576, 0.10472,10, 0.69732, 0.01996, 0.02474,12, 0.81621, 0.00653, 0.01785,10, 0.74002, 0.01120, 0.02192,13, 0.84200, 0.00570, 0.01743,12, 0.72798, 0.00636, 0.01874,16,1021, 4.26278, 0.00519, 0.01815
949, 0.93675, 0.10472,10, 0.66394, 0.01235, 0.02509,16, 0.96395, 0.00483, 0.01553,11, 0.65632, 0.00782, 0.01961,12, 0.81210, 0.00587, 0.01768,14, 0.86597, 0.00526, 0.01671,16,1001, 3.85207, 0.00557, 0.01904
959, 0.87225, 0.10472,8, 0.60919, 0.02575, 0.03005,10, 0.73715, 0.00902, 0.02674,9, 0.58240, 0.01479, 0.03076,11, 0.79412, 0.00815, 0.02559,11, 0.75021, 0.00834, 0.02583,12,670, 2.80296, 0.00638, 0.02450
967, 0.90331, 0.10472,9, 0.73625, 0.01884, 0.02785,11, 0.77489, 0.00740, 0.02324,8, 0.65408, 0.01138, 0.02789,12, 0.80995, 0.00711, 0.02271,10, 0.72949, 0.00794, 0.02404,13,809, 3.43100, 0.00635, 0.02351
973, 0.91512, 0.10472,9, 0.71153, 0.01578, 0.02569,13, 0.90272, 0.00617, 0.01875,10, 0.62679, 0.00967, 0.02288,12, 0.76886, 0.00641, 0.01924,13, 0.73665, 0.00611, 0.01902,14,819, 3.55992, 0.00601, 0.02102
1006, 0.94944, 0.10472,12, 0.78290, 0.01297, 0.02569,18, 1.04907, 0.00418, 0.01668,15, 0.84668, 0.00681, 0.01953,17, 0.98268, 0.00416, 0.01628,16, 0.90538, 0.00439, 0.01703,24,1388, 5.76951, 0.00316, 0.01809
97, 0.96441, 0.10472,13, 0.75075, 0.00931, 0.02288,15, 0.89099, 0.00148, 0.00490,14, 0.76127, 0.00167, 0.00966,13, 0.69338, 0.00135, 0.00514,13, 0.79182, 0.00133, 0.00512,15,790, 3.28365, 0.00138, 0.00491
123, 0.74530, 0.10472,20, 1.57410, 0.13239, 0.06839,25, 1.99995, 0.06471, 0.06311,28, 2.13405, 0.10177, 0.06941,11, 0.88757, 0.00514, 0.02493,27, 1.94273, 0.00532, 0.02850,13,799, 3.44705, 0.00444, 0.02307
317, 0.75007, 0.10472,19, 2.35948, 0.05939, 0.12705,20, 1.86165, 0.00697, 0.03852,18, 1.87623, 0.01676, 0.07405,18, 1.70746, 0.00465, 0.01603,19, 1.70051, 0.00362, 0.01932,19,1038, 5.30323, 0.00489, 0.01271
327, 0.58178, 0.10472,50,11.49102, 0.33143, 0.73430,37, 6.64302, 0.03731, 0.15070,31, 5.73209, 0.06964, 0.10566,26, 4.19009, 0.01979, 0.07726,19, 3.20179, 0.01397, 0.05086,24,577, 6.55254, 0.02593, 0.09756
330, 0.51475, 0.10472,50,16.36904, 0.21773, 0.60246,50,13.67417, 0.07979, 0.40220,50,11.91560, 0.13876, 0.59712,50,10.71590, 0.09271, 0.52178,50,10.10825, 0.01096, 0.05494,27,884, 8.32001, 0.03103, 0.11698
337, 0.41613, 0.10472,50,22.57445, 0.41345, 0.27747,50,18.72602, 0.32214, 0.71939,50,16.92696, 0.39513, 0.88234,50,17.78800, 0.24888, 0.44751,50,19.21500, 0.24635, 0.65042,16,479, 5.55738, 0.02453, 0.09400
343, 0.50228, 0.10472,50,19.47431, 0.26565, 0.65825,50,12.89379, 0.13674, 0.62281,50,15.22660, 0.18179, 0.45993,50,10.52206, 0.03397, 0.22856,50,11.40538, 0.01159, 0.05895,15,703, 5.52493, 0.01088, 0.04423
357, 0.87543, 0.10472,11, 0.80579, 0.01045, 0.03390,15, 1.00504, 0.00552, 0.01988,12, 0.74390, 0.00872, 0.02502,14, 0.98592, 0.00490, 0.02011,13, 0.79462, 0.00508, 0.02112,14,829, 3.60563, 0.00516, 0.02007
404, 0.90848, 0.10472,7, 0.34123, 0.01340, 0.05118,11, 0.44166, 0.00732, 0.05170,8, 0.33217, 0.00962, 0.05221,11, 0.43362, 0.00720, 0.04989,18, 0.61979, 0.00645, 0.04312,7,408, 1.67108, 0.00940, 0.05861
440, 0.68934, 0.10472,18, 1.04151, 0.01934, 0.10145,15, 0.96720, 0.00976, 0.03469,12, 0.86096, 0.01125, 0.05229,15, 0.86493, 0.00902, 0.03166,15, 0.91855, 0.00924, 0.03296,21,1351, 5.79735, 0.00250, 0.01977
464, 0.65954, 0.10472,16, 1.04797, 0.01953, 0.08452,12, 0.88793, 0.01076, 0.03878,10, 0.72604, 0.01288, 0.04452,10, 0.68369, 0.01138, 0.04033,11, 0.76468, 0.01198, 0.04229,19,1158, 4.56384, 0.00283, 0.02518
488, 0.61728, 0.10472,26, 1.31604, 0.03399, 0.14581,20, 0.95892, 0.01261, 0.04406,12, 0.67497, 0.01652, 0.06950,16, 0.78152, 0.01314, 0.05166,16, 0.81639, 0.01353, 0.05308,28,1761, 6.48479, 0.01155, 0.02027
492, 0.63286, 0.10472,31, 1.50686, 0.03051, 0.12230,23, 1.03263, 0.01331, 0.03953,13, 0.64541, 0.01565, 0.05581,20, 1.03550, 0.01372, 0.04469,19, 0.96357, 0.01373, 0.04447,29,1801, 7.27595, 0.01042, 0.02371
504, 0.59215, 0.10472,17, 0.88281, 0.02455, 0.09923,16, 0.80314, 0.01297, 0.05264,9, 0.57607, 0.01570, 0.06585,11, 0.61642, 0.01473, 0.06286,15, 0.83666, 0.01429, 0.06028,36,1860, 7.69249, 0.00765, 0.02183
525, 0.61173, 0.10472,11, 0.78808, 0.01676, 0.09507,14, 0.99885, 0.00948, 0.03798,11, 0.72715, 0.01214, 0.05761,14, 0.89762, 0.01041, 0.04308,14, 0.95819, 0.01130, 0.04875,12,717, 3.22994, 0.00854, 0.02649
534, 0.70111, 0.10472,14, 1.02698, 0.01481, 0.07990,15, 1.25578, 0.00844, 0.03591,18, 1.08897, 0.01009, 0.04852,16, 1.16416, 0.00809, 0.03494,16, 1.19682, 0.00843, 0.03762,18,1067, 4.42007, 0.00465, 0.02569
587, 0.87509, 0.10472,11, 0.67934, 0.01107, 0.02717,15, 0.88360, 0.00452, 0.01644,13, 0.66973, 0.00854, 0.02243,14, 0.75196, 0.00446, 0.01809,17, 0.90511, 0.00327, 0.01655,16,895, 3.62806, 0.00297, 0.02197
638, 0.78560, 0.10472,15, 1.09227, 0.02321, 0.06311,14, 1.05315, 0.01127, 0.03173,14, 0.94081, 0.01481, 0.04271,14, 1.01973, 0.01080, 0.03002,15, 1.02612, 0.00982, 0.02717,13,667, 3.04143, 0.00938, 0.02627
698, 0.74227, 0.10472,30, 4.24506, 0.07714, 0.19829,15, 1.95768, 0.01026, 0.02364,14, 1.53977, 0.01623, 0.05680,19, 1.94188, 0.00611, 0.00857,21, 2.14078, 0.00476, 0.01036,17,974, 4.86831, 0.00480, 0.00970
717, 0.56078, 0.10472,21, 3.93731, 0.10111, 0.24509,50, 7.44013, 0.03782, 0.25066,23, 4.11209, 0.07727, 0.32543,23, 2.88120, 0.01198, 0.07181,45, 5.47789, 0.00636, 0.01774,18,872, 5.14675, 0.01025, 0.02540
723, 0.42354, 0.10472,50,13.26739, 0.50780, 0.71242,32, 6.51040, 0.08248, 0.34281,50,12.31234, 0.24066, 0.41841,20, 3.36180, 0.03472, 0.23712,50, 8.91377, 0.03889, 0.18690,21,593, 5.32307, 0.03640, 0.18976
732, 0.45719, 0.10472,50,10.17795, 0.47993, 0.73536,35, 4.14112, 0.04512, 0.14099,20, 2.48097, 0.09502, 0.24118,33, 3.73606, 0.04411, 0.13530,35, 3.64791, 0.04404, 0.13385,44,2049,12.67245, 0.02496, 0.05007
736, 0.45589, 0.10472,50,10.74348, 0.51999, 0.79190,33, 4.24901, 0.04691, 0.12660,14, 2.11417, 0.10906, 0.23402,33, 4.36277, 0.04656, 0.12242,30, 4.07943, 0.04190, 0.10219,20,1071, 6.71183, 0.02637, 0.05106
747, 0.44995, 0.10472,50,10.42743, 0.48549, 0.73544,32, 4.15693, 0.04725, 0.15279,20, 2.97168, 0.10707, 0.27258,31, 3.74834, 0.04336, 0.14222,34, 3.98868, 0.04353, 0.14238,30,1517, 9.00133, 0.02765, 0.05812
756, 0.38690, 0.10472,29, 3.24341, 0.16631, 0.51714,31, 3.54226, 0.06665, 0.53661,38, 3.94735, 0.12209, 0.55194,42, 4.32375, 0.07604, 0.53049,24, 2.77173, 0.06049, 0.54484,26,814, 6.21495, 0.02986, 0.11392
