ref_frame, src_frame, overlap, all_time, all_t_err, all_r_err, pct_time, pct_t_err, pct_r_err, sigma_time, sigma_t_err, sigma_r_err, x84_time, x84_t_err, x84_r_err, dynamic_time, dynamic_t_err, dynamic_r_err, goicp_time, goicp_t_err, goicp_r_err, s4pcs_time, s4pcs_t_err, s4pcs_r_err, hmrf_time, hmrf_t_err, hmrf_r_err
907, 769, 0.12479, 5.03858, 0.50208, 0.62662, 13.45698, 0.44540, 0.52505, 7.84540, 0.47910, 0.62954, 14.26138, 0.45456, 0.55647, 8.02843, 0.38532, 0.46126, NaN, NaN, NaN, 120.03377, NaN, NaN, 22.65205, 0.12969, 0.04569
889, 739, 0.05716, 18.09073, 0.72200, 1.45644, 11.43348, 0.35345, 1.09141, 16.36085, 0.43378, 1.11830, 12.59129, 0.19855, 0.55190, 13.35609, 0.30269, 0.73413, NaN, NaN, NaN, 120.03615, NaN, NaN, 16.35012, 0.20294, 0.53148
757, 13, 0.06626, 9.21234, 0.57428, 1.66043, 12.14674, 0.54920, 1.62879, 8.72490, 0.56585, 1.65382, 8.26065, 0.57223, 1.65715, 8.93376, 0.56824, 1.65518, NaN, NaN, NaN, 120.08578, NaN, NaN, 16.05958, 0.55983, 1.49439
841, 745, 0.11780, 13.48078, 0.72589, 1.42699, 19.05053, 0.24889, 0.11451, 14.87913, 0.63143, 1.45838, 16.09825, 0.22089, 0.08103, 17.46817, 0.21700, 0.17568, NaN, NaN, NaN, 120.04885, NaN, NaN, 23.15259, 0.18938, 0.13978
127, 769, 0.04928, 8.32414, 0.92462, 1.46088, 8.97325, 0.71628, 0.90572, 9.47053, 0.82554, 1.52144, 9.50603, 0.87933, 1.49331, 10.97957, 0.79763, 0.99785, NaN, NaN, NaN, 120.05042, NaN, NaN, 6.47919, 0.27698, 0.31624
739, 883, 0.09772, 6.12726, 0.37104, 1.06894, 8.42459, 0.40932, 1.12971, 6.52165, 0.37417, 1.07236, 5.93109, 0.37101, 1.06851, 5.79543, 0.37120, 1.06849, NaN, NaN, NaN, 120.05180, NaN, NaN, 13.05693, 0.31902, 1.07461
871, 757, 0.03501, 11.34800, 0.73072, 1.24579, 8.73315, 0.80549, 2.32549, 12.98478, 0.77846, 1.60841, 6.27674, 0.82875, 2.33465, 12.91558, 0.66473, 1.29063, NaN, NaN, NaN, 120.04567, NaN, NaN, 12.01282, 0.77779, 2.14908
841, 337, 0.11544, 23.13423, 0.93528, 1.34670, 16.06014, 0.74169, 1.35134, 19.96682, 0.85409, 1.31089, 18.97168, 0.84701, 1.31401, 11.17270, 0.76386, 1.32877, NaN, NaN, NaN, 120.05732, NaN, NaN, 29.58571, 0.56828, 1.29785
889, 763, 0.05043, 10.79669, 0.66780, 0.89810, 13.02354, 0.64113, 1.64518, 9.15075, 0.63323, 0.92191, 12.61206, 0.72266, 1.72922, 14.90406, 0.55126, 1.12651, NaN, NaN, NaN, 120.04349, NaN, NaN, 13.69244, 0.42853, 1.39971
769, 511, 0.05752, 6.71863, 0.36602, 1.19359, 6.32244, 0.34030, 1.13732, 6.08203, 0.36066, 1.17921, 6.29542, 0.36726, 1.18945, 6.49175, 0.36007, 1.17729, NaN, NaN, NaN, 120.07430, NaN, NaN, 9.07903, 0.35765, 1.15007
1, 499, 0.18246, 6.57303, 0.31452, 0.91706, 7.57035, 0.30420, 0.78337, 6.27442, 0.31196, 0.83611, 7.52274, 0.31039, 0.82227, 5.98856, 0.31131, 0.82716, NaN, NaN, NaN, 82.10004, 0.23913, 0.52493, 11.61182, 0.09743, 0.10727
889, 757, 0.09880, 13.41937, 0.54384, 0.94719, 15.01565, 0.40496, 1.18796, 11.03654, 0.53929, 0.99590, 10.15168, 0.51418, 1.43107, 13.62594, 0.51631, 1.09935, NaN, NaN, NaN, 120.04750, NaN, NaN, 12.29429, 0.18738, 0.60968
991, 769, 0.14799, 6.33834, 0.50277, 0.62759, 6.74343, 0.30055, 0.32136, 7.58554, 0.47180, 0.63368, 10.15088, 0.32766, 0.38353, 12.60074, 0.27537, 0.33970, NaN, NaN, NaN, 120.04622, NaN, NaN, 10.75343, 0.04389, 0.15233
769, 133, 0.06785, 12.29476, 0.64404, 0.97172, 10.90789, 0.33771, 0.79116, 13.12422, 0.63469, 0.94309, 13.01852, 0.64116, 0.96404, 12.86674, 0.64194, 0.96564, NaN, NaN, NaN, 120.06573, NaN, NaN, 18.87467, 0.23272, 0.25759
781, 877, 0.15100, 5.12489, 0.40031, 1.30696, 3.81149, 0.28761, 0.86033, 5.92668, 0.37768, 1.22280, 5.66978, 0.39833, 1.29924, 5.96207, 0.38546, 1.24451, NaN, NaN, NaN, 63.61657, 0.69741, 1.65824, 8.53731, 0.22880, 0.76622
775, 1009, 0.16185, 5.93979, 0.49655, 0.47535, 9.85444, 0.45987, 0.40940, 7.39164, 0.49043, 0.47373, 7.24960, 0.49571, 0.47523, 6.66966, 0.49360, 0.47410, NaN, NaN, NaN, 58.47621, 0.69190, 1.60880, 13.31911, 0.03994, 0.17122
517, 871, 0.17567, 2.85777, 0.29000, 0.22454, 2.89309, 0.29815, 0.13146, 3.47640, 0.28880, 0.21012, 3.71031, 0.28864, 0.20989, 3.02494, 0.28890, 0.21802, NaN, NaN, NaN, 120.04067, NaN, NaN, 4.98233, 0.26088, 0.09469
763, 817, 0.18872, 10.52298, 0.26150, 0.54800, 12.87957, 0.21898, 0.40010, 11.30621, 0.26009, 0.54038, 10.47670, 0.26149, 0.54799, 10.28251, 0.26106, 0.54733, NaN, NaN, NaN, 35.71582, 0.21831, 1.57047, 19.87643, 0.05894, 0.12962
265, 1, 0.20127, 3.83780, 0.17242, 0.24289, 7.16090, 0.17144, 0.61688, 6.80720, 0.15755, 0.16967, 7.15630, 0.16748, 0.22140, 1.79911, 0.13829, 0.16708, NaN, NaN, NaN, 19.50060, 0.20161, 1.77773, 3.21526, 0.05626, 0.07913
769, 1075, 0.14965, 5.54030, 0.16413, 0.50087, 9.96750, 0.15043, 0.48694, 5.31384, 0.16341, 0.49532, 5.11640, 0.16413, 0.50087, 5.48393, 0.16335, 0.49737, NaN, NaN, NaN, 53.70450, 0.79765, 1.86847, NaN, NaN, NaN
7, 799, 0.24304, 20.29538, 0.51330, 1.33344, 15.35934, 0.42956, 1.28044, 14.91354, 0.44434, 1.31399, 13.53948, 0.44283, 1.31326, 14.12110, 0.44270, 1.31328, NaN, NaN, NaN, 66.72250, 0.63942, 3.01025, 25.17822, 0.39152, 1.13757
415, 865, 0.23306, 1.63762, 0.22473, 0.27764, 0.73356, 0.19804, 0.26128, 0.83359, 0.21161, 0.27576, 0.77668, 0.20532, 0.27254, 1.85060, 0.24254, 0.25791, NaN, NaN, NaN, 56.02051, 0.13092, 0.15890, NaN, NaN, NaN
13, 211, 0.26722, 16.96568, 0.47545, 1.68063, 17.97688, 0.41927, 1.34055, 17.08721, 0.47748, 1.68909, 17.63959, 0.47539, 1.68063, 17.50901, 0.47593, 1.68377, NaN, NaN, NaN, 49.03314, 0.68446, 2.13290, 19.00642, 0.26845, 0.99128
97, 763, 0.28716, 11.41689, 0.60466, 0.95719, 2.12745, 0.14281, 0.35749, 11.17286, 0.48729, 0.69739, 5.85516, 0.12372, 0.33688, 9.30449, 0.10177, 0.37186, NaN, NaN, NaN, 24.21186, 0.96314, 2.98358, 8.51723, 0.03394, 0.05896
871, 463, 0.28369, 2.18727, 0.16143, 0.33292, 3.78719, 0.15018, 0.31007, 2.37371, 0.15753, 0.32505, 2.51512, 0.15865, 0.32877, 2.30388, 0.15866, 0.32881, NaN, NaN, NaN, 7.88016, 0.22134, 0.23828, 8.49946, 0.15552, 0.33376
775, 205, 0.19640, 7.65948, 0.37996, 0.34212, 11.64456, 0.38563, 0.35064, 9.49848, 0.38257, 0.37401, 8.73821, 0.38815, 0.35519, 8.97566, 0.38881, 0.35439, NaN, NaN, NaN, 24.39672, 0.73750, 3.11459, 8.66986, 0.03133, 0.11906
481, 703, 0.28119, 20.98715, 0.21326, 0.55834, 15.84291, 0.15180, 0.34288, 8.58057, 0.13621, 0.27356, 8.61381, 0.13619, 0.27355, 12.45826, 0.14452, 0.32989, NaN, NaN, NaN, 42.64099, 0.31923, 0.14746, 5.10166, 0.12520, 0.30174
1015, 517, 0.51002, 1.56428, 0.06292, 0.12075, 1.91905, 0.05189, 0.09720, 1.67092, 0.06015, 0.11335, 1.67776, 0.06092, 0.11559, 1.53223, 0.05859, 0.11124, 47.53940, 0.06302, 0.11322, 0.68217, 0.23069, 2.79081, 4.20308, 0.03028, 0.06952
7, 937, 0.20445, 15.67253, 0.37136, 1.21090, 17.41120, 0.43240, 1.30166, 16.87820, 0.40997, 1.27816, 16.76117, 0.39976, 1.25946, 17.40680, 0.43078, 1.30965, NaN, NaN, NaN, 120.03102, NaN, NaN, 19.79824, 0.36978, 1.15798
547, 769, 0.25374, 5.97341, 0.60157, 0.50364, 9.56595, 0.60379, 0.45468, 7.91668, 0.63320, 0.50660, 9.10857, 0.42568, 0.50529, 9.30405, 0.58871, 0.40427, NaN, NaN, NaN, 47.19285, 1.17333, 2.01092, 4.77472, 0.31296, 0.33578
463, 967, 0.39197, 5.34931, 0.14461, 0.21051, 4.57513, 0.10605, 0.21134, 8.06141, 0.13571, 0.21962, 6.88436, 0.14317, 0.21642, 8.67965, 0.13947, 0.22083, NaN, NaN, NaN, 11.56724, 0.01705, 0.06037, 4.82674, 0.08624, 0.19540
829, 715, 0.47303, 12.25162, 0.52394, 0.26521, 13.27440, 0.46165, 0.16052, 14.04714, 0.49942, 0.22604, 13.43361, 0.49423, 0.22156, 14.75062, 0.49189, 0.21445, NaN, NaN, NaN, 3.06075, 0.85079, 1.67923, 4.89729, 0.01333, 0.01257
859, 1051, 0.32791, 5.68308, 0.22253, 0.28795, 4.85410, 0.15803, 0.32026, 5.49141, 0.20570, 0.27777, 5.84660, 0.20689, 0.27772, 6.02837, 0.20747, 0.27846, NaN, NaN, NaN, 5.65831, 0.05183, 0.36525, 7.59204, 0.11170, 0.27944
271, 331, 0.33017, 18.89764, 0.65633, 1.84866, 27.49550, 0.34424, 0.84412, 25.36464, 0.37983, 0.75851, 26.73772, 0.36997, 0.80733, 27.28240, 0.34068, 0.84947, NaN, NaN, NaN, 16.20173, 0.52316, 1.73084, 9.73103, 0.05252, 0.18792
607, 877, 0.36315, 2.17083, 0.20259, 0.17185, 1.48257, 0.16222, 0.16367, 2.70290, 0.19956, 0.14462, 1.37159, 0.16176, 0.16373, 1.43925, 0.15777, 0.16309, NaN, NaN, NaN, 5.03294, 0.28453, 0.10616, 1.56864, 0.11693, 0.16898
