dataset, ref_frame, src_frame, overlap, all_time, all_t_err, all_r_err, pct_time, pct_t_err, pct_r_err, sigma_time, sigma_t_err, sigma_r_err, x84_time, x84_t_err, x84_r_err, dynamic_time, dynamic_t_err, dynamic_r_err, goicp_time, goicp_t_err, goicp_r_err, s4pcs_time, s4pcs_t_err, s4pcs_r_err, hmrf_time, hmrf_t_err, hmrf_r_err
freiburg1_desk, 150, 500, 0.14834, 6.48984, 0.53939, 1.25143, 5.86072, 0.48867, 1.10426, 6.08986, 0.52183, 1.19799, 7.02779, 0.52203, 1.20724, 6.69270, 0.52293, 1.20366, NaN, NaN, NaN, 85.60765, 2.39443, 3.09974, NaN, NaN, NaN
freiburg1_desk, 40, 250, 0.24357, 5.77243, 0.33353, 0.87518, 4.23685, 0.14293, 0.59925, 5.46231, 0.46589, 0.11436, 3.84956, 0.11498, 0.49656, 4.47705, 0.18973, 0.34977, NaN, NaN, NaN, 11.26266, 0.69867, 2.57416, 9.56763, 0.06433, 0.14872
freiburg1_desk, 150, 580, 0.34707, 8.61197, 0.45732, 0.76024, 7.03436, 0.33944, 0.47245, 6.93420, 0.34099, 0.47732, 7.16793, 0.34041, 0.47501, 6.94832, 0.34125, 0.47605, NaN, NaN, NaN, 2.99924, 1.93314, 0.89938, 8.46609, 0.34098, 0.47729
freiburg1_desk, 520, 110, 0.40767, 21.47300, 0.59353, 1.18739, 18.32627, 0.40578, 0.28581, 16.09242, 0.43090, 0.85493, 17.62856, 0.42613, 0.78166, 16.44097, 0.40178, 0.31152, NaN, NaN, NaN, 6.76610, 1.73127, 3.12421, 28.12849, 0.12758, 0.19173
freiburg1_desk, 210, 260, 0.56143, 3.65002, 0.26711, 0.25580, 1.53458, 0.11837, 0.13763, 1.31140, 0.17498, 0.09032, 3.41764, 0.08822, 0.14613, 1.07637, 0.10795, 0.15331, NaN, NaN, NaN, 0.58859, 0.86666, 3.09319, 2.27423, 0.01273, 0.26172
freiburg1_desk, 530, 520, 0.63536, 2.69577, 0.03281, 0.03049, 3.75530, 0.05869, 0.10920, 1.72050, 0.04581, 0.09215, 2.42388, 0.02486, 0.27151, 1.41482, 0.03485, 0.18960, NaN, NaN, NaN, 0.53701, 0.93596, 2.94204, 2.58283, 0.01311, 0.30806
freiburg1_desk, 580, 100, 0.74129, 2.16143, 0.25606, 0.04550, 6.06127, 0.17539, 0.06179, 3.15143, 0.22858, 0.05049, 5.95179, 0.17588, 0.06082, 3.09397, 0.20039, 0.05803, NaN, NaN, NaN, 0.65584, 0.21259, 0.12228, 3.43974, 0.00842, 0.01545
freiburg1_desk, 590, 560, 0.88445, 11.48455, 0.12207, 0.74187, 6.37418, 0.01629, 0.01765, 3.82813, 0.02737, 0.00793, 6.45590, 0.01511, 0.05150, 3.70153, 0.01678, 0.09010, NaN, NaN, NaN, 0.36238, 0.13853, 0.12843, 9.76477, 0.01289, 0.02447
freiburg1_desk, 570, 580, 0.94262, 1.07916, 0.02173, 0.02264, 0.82363, 0.00775, 0.00631, 0.83415, 0.00939, 0.01975, 0.82358, 0.00544, 0.02150, 0.92049, 0.00578, 0.01993, 0.20012, 0.02877, 0.04270, 0.27652, 0.06077, 0.02721, 1.82533, 0.00854, 0.00554
freiburg1_desk2, 580, 150, 0.17796, 2.33213, 0.11985, 0.16943, 1.27713, 0.06520, 0.02271, 2.59492, 0.08908, 0.08977, 1.16861, 0.04801, 0.02072, 1.41170, 0.05164, 0.02261, NaN, NaN, NaN, 63.96251, 0.39411, 0.75090, 2.21165, 0.04821, 0.02409
freiburg1_desk2, 240, 350, 0.21449, 11.28780, 0.66559, 0.56538, 9.75606, 0.73711, 0.51858, 10.54318, 0.71921, 0.61508, 10.58704, 0.73636, 0.54293, 10.41222, 0.73071, 0.50919, NaN, NaN, NaN, 120.03178, NaN, NaN, 12.43310, 0.74966, 0.50583
freiburg1_desk2, 110, 330, 0.37992, 5.29337, 0.80805, 1.05847, 13.81360, 0.57290, 0.62829, 6.41699, 0.74754, 1.12647, 16.95866, 0.20846, 0.15632, 15.66979, 0.39080, 0.25988, NaN, NaN, NaN, 16.60771, 1.02543, 1.26021, 24.66759, 0.13384, 0.13781
